Job Title,Company,Location,Date Posted
Lifeguard,"Blueray Management, LLC.","Irvine, CA",1 week ago
Lifeguard,Oshman Family JCC,"East Palo Alto, CA",6 days ago
Pool Lifeguard,City of Morro Bay,"Morro Bay, CA",2 weeks ago
Lifeguard,Martis Camp Club & Community Association,"Truckee, CA",3 weeks ago
Lifeguard at VillaSport,VillaSport Athletic Club and Spa,"Roseville, CA",3 days ago
Lifeguard,City of Ojai,"Ojai, CA",3 weeks ago
Lifeguard,Oshman Family JCC,"Palo Alto, CA",2 months ago
Lifeguard at VillaSport,VillaSport Athletic Club and Spa,"San Jose, CA",1 day ago
Lifeguard / Lifeguardian,Morton's Warm Springs,"Kenwood, CA",1 day ago
Lifeguard,Premier Aquatics,"Diamond Bar, CA",6 days ago
Lifeguard,Troon,"Davis, CA",1 month ago
Lifeguard Coordinator,The Y (YMCA),"Santa Monica, CA",2 weeks ago
Lifeguard (USU),"California State University, Northridge","Northridge, CA",1 month ago
Lead Lifeguard at VillaSport,VillaSport Athletic Club and Spa,"San Jose, CA",3 days ago
Lifeguard,Premier Aquatics,"Twentynine Palms, CA",6 days ago
Lifeguard (TUC- Aquatic Center),"California State University, Northridge","Northridge, CA",3 weeks ago
Lifeguard,Troon,"Novato, CA",1 month ago
Lifeguard,Premier Aquatics,"Anaheim, CA",6 days ago
Lifeguard,Premier Aquatics,"Murrieta, CA",6 days ago
Lifeguard,Premier Aquatics,"Mission Viejo, CA",6 days ago
Lifeguard,City of Escondido,"Escondido, CA",4 weeks ago
Lifeguard (521869),California State University Maritime Academy,"Vallejo, CA",1 month ago
Lifeguard - $16.75 - $17.00/hr.,Six Flags Magic Mountain,"Santa Clarita, CA",3 weeks ago
Pool Lifeguard/Swim Instructor (Part-Time),City of Laguna Beach,"Laguna Beach, CA",13 hours ago
Pool Lifeguard,City of Coronado,"Coronado, CA",1 month ago
